year	site	plotid	depth	subsample	rep	rotation	crop	tillage	drainage	SOIL1	SOIL2	SOIL39	SOIL29	SOIL30	SOIL31	SOIL32
2011	DPAC	NE	0 - 10	11	1	ROT5	Soybean	TIL2	DWM2	1.54	0.376	0.377	0.319	0.31	0.298	0.178
2013	DPAC	NE	0 - 10	11	1	ROT5	Soybean	TIL2	DWM2	1.38	0.439	0.439	0.361	0.345	0.322	0.167
2015	DPAC	NE	0 - 10	11	1	ROT5	Soybean	TIL2	DWM2	1.32	0.423	0.417	0.336	0.313	0.282	0.148
2011	DPAC	NE	0 - 10	12	1	ROT5	Soybean	TIL2	DWM2	1.44	0.394	0.395	0.311	0.3	0.29	0.167
2013	DPAC	NE	0 - 10	12	1	ROT5	Soybean	TIL2	DWM2	1.37	0.431	0.43	0.304	0.293	0.277	0.166
2015	DPAC	NE	0 - 10	12	1	ROT5	Soybean	TIL2	DWM2	1.38	0.417	0.408	0.331	0.314	0.291	0.156
2011	DPAC	NE	0 - 10	13	1	ROT5	Soybean	TIL2	DWM2	1.44	0.383	0.383	0.327	0.315	0.307	0.166
2013	DPAC	NE	0 - 10	13	1	ROT5	Soybean	TIL2	DWM2	1.44	0.416	0.42	0.387	0.376	0.353	0.174
2015	DPAC	NE	0 - 10	13	1	ROT5	Soybean	TIL2	DWM2	1.51	0.401	0.4	0.356	0.329	0.298	0.169
2011	DPAC	NE	0 - 10	1	1	ROT5	Soybean	TIL2	DWM2							
2013	DPAC	NE	0 - 10	1	1	ROT5	Soybean	TIL2	DWM2							
2015	DPAC	NE	0 - 10	1	1	ROT5	Soybean	TIL2	DWM2							
2011	DPAC	NE	0 - 10	21	1	ROT5	Soybean	TIL2	DWM2	1.48	0.401	0.399	0.347	0.335	0.331	0.167
2013	DPAC	NE	0 - 10	21	1	ROT5	Soybean	TIL2	DWM2	1.5	0.401	0.405	0.341	0.325	0.308	0.158
2015	DPAC	NE	0 - 10	21	1	ROT5	Soybean	TIL2	DWM2	1.33	0.447	0.442	0.307	0.286	0.264	0.128
2011	DPAC	NE	0 - 10	22	1	ROT5	Soybean	TIL2	DWM2	1.42	0.423	0.425	0.34	0.327	0.315	0.159
2013	DPAC	NE	0 - 10	22	1	ROT5	Soybean	TIL2	DWM2	1.51	0.402	0.385	0.308	0.299	0.283	0.159
2015	DPAC	NE	0 - 10	22	1	ROT5	Soybean	TIL2	DWM2	1.39	0.407	0.405	0.315	0.29	0.264	0.133
2011	DPAC	NE	0 - 10	23	1	ROT5	Soybean	TIL2	DWM2	1.49	0.396	0.397	0.331	0.318	0.312	0.168
2013	DPAC	NE	0 - 10	23	1	ROT5	Soybean	TIL2	DWM2	1.59	0.367	0.372	0.328	0.319	0.305	0.168
2015	DPAC	NE	0 - 10	23	1	ROT5	Soybean	TIL2	DWM2	1.45	0.411	0.41	0.331	0.3	0.269	0.139
2011	DPAC	NE	0 - 10	2	1	ROT5	Soybean	TIL2	DWM2							
2013	DPAC	NE	0 - 10	2	1	ROT5	Soybean	TIL2	DWM2							
2015	DPAC	NE	0 - 10	2	1	ROT5	Soybean	TIL2	DWM2							
2011	DPAC	NE	0 - 10	31	1	ROT5	Soybean	TIL2	DWM2	1.31	0.449	0.44	0.351	0.339	0.337	0.153
2013	DPAC	NE	0 - 10	31	1	ROT5	Soybean	TIL2	DWM2	1.51	0.412	0.419	0.359	0.351	0.33	0.175
2015	DPAC	NE	0 - 10	31	1	ROT5	Soybean	TIL2	DWM2	1.43	0.423	0.408	0.352	0.328	0.304	0.158
2011	DPAC	NE	0 - 10	32	1	ROT5	Soybean	TIL2	DWM2	1.37	0.415	0.417	0.363	0.349	0.343	0.16
2013	DPAC	NE	0 - 10	32	1	ROT5	Soybean	TIL2	DWM2	1.39	0.414	0.415	0.357	0.347	0.335	0.162
